region,building_cluster,building_type,num_households_premises,num_shops_premises,type_waste_generator,waste_segregation,wet_waste_before_segregation,dry_waste_before_segregation,hazardous_waste,composting_type,compost_bin_by_mcgm,date_notice_issued,name_number,coll_date,category,num_wings,wing_name,population,compostable_waste,recyclable_waste,rejected_waste
ANAND NAGAR,Vijay Vishal,Res.,78,,BWG,yes,0,25,2,,,20/09/2021,"Chandrakant Kale
9969003025",04/10/2021,,,,,,,
ANAND NAGAR,Spice Tower,Com,,16,Others,,0,0,0,Out sorce,,,,04/10/2021,,,,,,,
ANAND NAGAR,Sandipani Shikshak Oshiwara,Res.,91,28,After 2007 (BWG),no,0,0,0,,,20/09/2021,"Rammani C. Dube
9702334382",04/10/2021,,,,,,,
ANAND NAGAR,Vaibhav Palace,Res.,48,28,Others,yes,80,30,0,,,,,04/10/2021,,,,,,,
MEGA MALL,Assistant Commissioner Police Oshiwara Division Mumbai,Com,,,,,,,,,,,,04/10/2021,,,,,,,
MEGA MALL,Jay Ambe,Res.,100,,BWG,no,0,0,0,,,28/09/2021,"Amar Pal
9920612050",04/10/2021,,,,,,,
MEGA MALL,Mahataranga,Res.,52,4,Others,no,0,0,0,,,,,04/10/2021,,,,,,,
MEGA MALL,Sawati Apartment,Res.,28,7,Others,no,0,0,0,,,,,04/10/2021,,,,,,,
MEGA MALL,1 BHK,Com,,,Others,,-,-,-,-,-,,,04/10/2021,,,,,,,
MEGA MALL,Meera Tower,Res.,100,28,BWG,,0,0,0,Out source,,18/09/2021,"A.K.Singh (Mang)
9930317315",04/10/2021,,,,,,,
GREEN PARK,Anand vihar,Res.,42,,MHADA,yes,35,25,0,,23/09/2021,,,04/10/2021,,,,,,,
GREEN PARK,Oshiwara Basera,Res.,28,,MHADA,yes,40,0,0,,,,,04/10/2021,,,,,,,
GREEN PARK,Park paradise,Res.,44,12,MHADA,yes,0,20,0,5,23/09/2021,,,04/10/2021,,,,,,,
TARAPORE,The park (Lotus),Res.,42,,MHADA,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,K.L Walawalkar MCGM garden,Grdn,,,Others,,0,0,0,,,,,04/10/2021,,,,,,,
TARAPORE,Atlantis,Res.,22,,Others,yes,0,10,0,,,,,04/10/2021,,,,,,,
TARAPORE,Deep Tower & apartment,Res.,100,,BWG,yes,0,15,0,,,28/09/2021,Zuber Menon,04/10/2021,,,,,,,
TARAPORE,Harjanhans,Com,12,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,Kohinoor I,Res.,45,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,Kohinoor II,Res.,42,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,Shantivan Mhada (7 bldg),Res.,7x28,,MHADA,yes,150,60,0,,25/09/2021,,,04/10/2021,,,,,,,
TARAPORE,BMC Garden II,Grdn,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,Rims International School ,Scl,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
TARAPORE,Samartha deep,Res.,160,,BWG,,0,0,0,Out source,-,-,-,04/10/2021,,,,,,,
TARAPORE,Samartha ashish,Res.,72,,Others,,0,0,0,,,,,04/10/2021,,,,,,,
TARAPORE,Aakash,Res.,28,,MHADA,yes,0,0,0,bin comp,19/09/2021,,,04/10/2021,,,,,,,
TARAPORE,Eden garden no.22,Res.,32,,MHADA,yes,0,0,0,bin comp,19/09/2021,,,04/10/2021,,,,,,,
TARAPORE,Samartha Aangan,Res.,330,,After 2007 (BWG),yes,0,50,18,OWC,,,,04/10/2021,,,,,,,
TARAPORE,Gulmohar,Res.,32,,MHADA,yes,21,10,0,,,,,04/10/2021,,,,,,,
TARAPORE,Mayfair no.20,Res.,32,6,MHADA,yes,0,20,0,bin comp,19/09/2021,,,04/10/2021,,,,,,,
TARAPORE,Indra darshan l,Res.,264,,BWG,,0,0,0,Drum comp,-,-,-,04/10/2021,,,,,,,
TARAPORE,Indra darshan ll,Res.,330,,BWG,,0,0,0,Drum comp,-,-,-,04/10/2021,,,,,,,
TARAPORE,"Tarapore garden no. 1,2,3",Res.,294,,BWG,yes,0,70,3,OWC,,18/09/2021,"Sanjeev Sharma
9920304152",04/10/2021,,,,,,,
TARAPORE,Tarapore tower,Res.,269,,BWG,,0,0,0,out source,-,18/09/2021,"Arun poddar
9920720066",04/10/2021,,,,,,,
TARAPORE,Samartha vaibhav,Com,103,20,Others,,0,0,0,,,,,04/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Tulip no.6,Res.,37,2,MHADA,no,0,0,0,,44237,,,04/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Aster no.5,Res.,34,,MHADA,yes,7,0,0,,44237,,,04/10/2021,,,,,,,
AZAD NAGAR PETROL PUMP,Kasturi Society,Res.,32,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
JBCN SCHOOL LANE,Blue bell no.8,Res.,34,4,MHADA,yes,5,0,0,,,,,04/10/2021,,,,,,,
JBCN SCHOOL LANE,Avalon no7,Res.,30,,MHADA,no,0,0,0,,,,,04/10/2021,,,,,,,
JBCN SCHOOL LANE,(JBCN) International school,Scl,,,Others,,--,-,-,,,,,04/10/2021,,,,,,,
JBCN SCHOOL LANE,Daffodils no.10,Res.,32,,MHADA,yes,50,0,0,,,,,04/10/2021,,,,,,,
JBCN SCHOOL LANE,Indus no.9,Res.,32,,MHADA,yes,74,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Maheshwari Hall,Com,,,Others,yes,0,0,1,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Suriyakiran no.19,Res.,32,6,MHADA,yes,0,0,1,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Amity no.18,Res.,32,,MHADA,yes,0,0,2,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Oshiwara Mhada Garden,Grdn,,,Others,yes,0,0,1,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Green view no.17,Res.,32,,MHADA,yes,0,0,3,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Hima sai no.16,Res.,32,,MHADA,yes,0,0,11,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Raja Rani Malhotra Vidyalaya,Scl,40,,Others,,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,HVPS Education Complex,Clg,,,Others,,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Goenka International School,Scl,,22,Others,,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Marble School,Scl,,22,Others,,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Goverment of India Building,Res.,30,,Others,yes,50,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA GARDEN,Sanskar no.15,Res.,28,,MHADA,yes,47,0,0,-,Returned by society,-,-,04/10/2021,,,,,,,
BMC ROAD,Aradhana SRA,Res.,286,25,Others,no,-,-,-,-,-,-,-,04/10/2021,,,,,,,
BMC ROAD,Annapoorna Chs,Res.,,,Others,no,-,-,-,-,-,-,-,04/10/2021,,,,,,,
BMC ROAD,Godavari no1,Res.,40,,MHADA,yes,0,5,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Krishna no 2,Res.,40,,MHADA,no,0,0,0,-,44206,,,04/10/2021,,,,,,,
BMC ROAD,Narmadha no 3,Res.,40,,MHADA,no,0,0,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Kaveri no 4,Res.,40,,MHADA,no,0,0,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Panchvati no 5,Res.,40,,MHADA,yes,0,4,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Saptha Shrungi no 6,Res.,40,,MHADA,yes,0,6,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Sai Siddhii no 7,Res.,40,,MHADA,yes,0,5,0,,44206,,,04/10/2021,,,,,,,
BMC ROAD,Serenity Shree sai wings ADEF Chs,Res.,72,,BWG,yes,0,3,0,,,18/09/2021,"Nandkishore Ghag
9821394023",04/10/2021,,,,,,,
BMC ROAD,"Serenity Shree sai wings B1,B2 Chs",Res.,,,BWG,yes,0,4,0,,,18/09/2021,"Vare (Mang)
9699720927",04/10/2021,,,,,,,
BMC ROAD,Serenity Shree sai wings GHI chs,Res.,84,,BWG,yes,0,3,0,,,18/09/2021,"Suryanarayan Chube 
9702021707",04/10/2021,,,,,,,
BMC ROAD,City International School,Scl,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Jay Ambe,Res.,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Sumukh Heights,Res.,42,,Others,,-,-,-,-,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Sai Leela(SRA),Res.,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Aanand Seva Samity,Res.,102,11,BWG /SRA,no,0,0,0,-,,27/09/2021,"Mansoor Ali Khan
9022887279",04/10/2021,,,,,,,
HEERA PANNA ROAD,Reliable Business Centre,Com,,11,After 2007 (BWG/SRA),,0,0,0,-,,27/09/2021,"Shakeel Shaik
9821326518",04/10/2021,,,,,,,
HEERA PANNA ROAD,Om Heera Panna Premises,Com,,290,BWG,,0,0,0,,27/09/2021,27/09/2021,"Kisanlal Hans
9892408602",04/10/2021,,,,,,,
HEERA PANNA ROAD,Oshiwara Link Plaza,Com,,199,Others,,0,0,0,-,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Arshavardhan,Com,,,Others,yes,0,45,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Oshiwara Yashodeep ,Res.,60,,BWG /SRA,yes,0,80,0,-,44237,18/09/2021,"Ishwar  Hubale
9870473923",04/10/2021,,,,,,,
HEERA PANNA ROAD,(SBI) Officers Quatres 35,Res.,90,,MHADA,yes,35,20,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Godavari ,Res.,,,MHADA,yes,0,10,0,,44206,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Yamuna 38,Res.,55,12,MHADA,yes,0,15,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Kaveri no41,Res.,,,MHADA,yes,0,10,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Mhada Sargam no40,Res.,88,4,MHADA,yes,0,5,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Sebi Gaurur,Res.,30,,Others,yes,-,-,-,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Gujarat Bhavan,Res.,28,,Others,yes,-,-,-,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Tata Communication Residential Colony,Res.,105,,MHADA,yes,5,5,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,Andhra Bank Quartres,Res.,62,,MHADA,yes,15,6,0,,,,,04/10/2021,,,,,,,
HEERA PANNA ROAD,BMC Garden I,Grdn,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Marigold no. 1,Res.,34,,MHADA,yes,36,0,0,,44237,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Anuksa no.2,Res.,34,,MHADA,yes,80,0,0,,44237,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Aroma no.3,Res.,34,,MHADA,yes,90,0,0,,44237,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Sunshine no.4,Res.,34,,MHADA,yes,50,0,0,,44237,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Starship no.11,Res.,28,,MHADA,yes,0,15,0,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Lotus no.12,Res.,32,,MHADA,no,0,0,0,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Utsav no.13,Res.,32,,MHADA,yes,45,2.5,0,,Returned by Society,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Rajanigandha no.14,Res.,32,,MHADA,yes,0,0,0,,19/09/2021,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Income tax officers no.24,Res.,34,,MHADA,yes,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Link Way no.25,Res.,34,,MHADA,yes,56,15,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.26,Res.,32,,MHADA,yes,0,15,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Central Excise Res.iety no.27,Res.,32,,MHADA,yes,0,10,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Oshiwara Police Chowki,Com,,,Others,no,0,0,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,State Bank India ,Com,,1,Others,,-,-,-,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Matru Chayya,Res.,32,,MHADA,yes,0,15,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Ekdant ,Res.,34,,MHADA,yes,0,5,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Parth no.43,Res.,32,,MHADA,yes,40,5,0,,,,,04/10/2021,,,,,,,
OSHIWARA MAHADA NEW LINK ROAD,Fakir wadi (T.Camp),Res.,,,Others,yes,190,0,0,,,,,04/10/2021,,,,,,,
Behram  Baug,Ujala Nagar SRA,Res.,116,21,After 2007 (BWG/SRA),no,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Patel SRA,Res.,,,Others,no,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Sakirabi,Res.,114,16,After 2007 (BWG/SRA),no,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Parsi Colony,Res.,13x28,,Others,yes,52,,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Shama chs,Res.,,,Others,no,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Anupa Public high scl,Scl,,,Others,,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Sarvodhaya SRA,Res.,,,BWG,no,0,0,0,,,,,31/10/2021,,,,,,,
Behram  Baug,Range Heights,Com,,,After 2007 (BWG),,-,-,-,,,,,31/10/2021,,,,,,,
Behram  Baug,Santosh Nagar SRA,Res.,,,BWG,no,0,0,0,,,28/09/2021,"Amersen Yadav
9867974333",31/10/2021,,,,,,,
Behram  Baug,Green palace,Res.,,,Others,no,0,0,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Millenium court,Res.,80,1,BWG,yes,0,,0,"Out 
source",,27/09/2021,"Nitinn Ranga
9821337126",31/10/2021,,,,,,,
ROSHAN NAGAR,Evershine green,Res.,206,14,BWG,yes,14,,0,OWC,,18/09/2021,"Rohit Sharma (chr)
9819309474",31/10/2021,,,,,,,
ROSHAN NAGAR,"Raigad military school
Com-Bldg",Com,32,,BWG,yes,0,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Raigad military school,Scl,32,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Mariyam public high school,Scl,16 cls,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Belvedere spring school,Scl,,,Others,yes,0,0,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Level resident,Res.,,,Others,,-,-,-,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Akash ganga,Res.,28,,Others,yes,43,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshwara Vishal,Res.,28,,Others,yes,19,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Sahyadri,Res.,56,,Others,yes,24,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Girnar,Res.,56,,Others,yes,26,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Johig,Res.,28,,Others,yes,42,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Ravikiran,Res.,28,,Others,yes,44,,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Satpuda,Res.,56,,Others,,-,-,-,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Green daimond,Res.,40,,After 2007 (BWG),yes,76,,0,,,27/09/2021,"Sameer Shaik(sup)
9920048273",31/10/2021,,,,,,,
ROSHAN NAGAR,Jogeshwari Ganesh niwas,Res.,80,,BWG/SRA,yes,83,,0,,,27/09/2021,"Bhagwan Jadhav
9821800369",31/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B1,Res.,52,12,After 2007 (BWG/SRA),yes,39,,0,,,27/09/2021,"Ashok Dongre
9833455170",31/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B2,Res.,82,13,After 2007 (BWG/SRA),yes,44,,0,,,27/09/2021,"Alim Khan
8879313127",31/10/2021,,,,,,,
ROSHAN NAGAR,Lashkaria Empress,Res.,56,6,After 2007 (BWG/SRA),,-,-,-,Out source,,21/09/2021,"Sameer Shaik
9920048273",31/10/2021,,,,,,,
ROSHAN NAGAR,Oriental Education ,Clg,0,,Others,,-,-,-,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Green Heights (Lashkaria),Res.,0,,BWG,,-,-,-,Out source,,21/09/2021,"Aslam Lashkaria
9820990707",31/10/2021,,,,,,,
ROSHAN NAGAR,Shree Sai lila (SRA),Res.,56,,BWG,,28,0,0,,,,,31/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.1 ,Res.,88,,BWG,yes,82,,0,,,27/09/2021,"Vasant  Mahadik
7208580681",31/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.2 ,Res.,,,BWG /SRA,yes,78,,0,,,27/09/2021,"Vasant  Mahadik
7208580681",31/10/2021,,,,,,,
ANAND NAGAR,Techweb centre,Com,,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
ANAND NAGAR,Daimond /Pearl,Res.,18,2,Others,yes,33,,0,,,,,31/10/2021,,,,,,,
ANAND NAGAR,Vijay Vishal,Res.,78,,BWG,yes,0,,0,,,20/09/2021,"Chandrakant Kale
9969003025",31/10/2021,,,,,,,
ANAND NAGAR,Spice Tower,Com,,16,Others,,-,-,-,out source,,,,31/10/2021,,,,,,,
ANAND NAGAR,Sandipani Shikshak Oshiwara,Res.,91,28,After 2007 (BWG),yes,0,,0,,,20/09/2021,"Rammani C. Dube
9702334382",31/10/2021,,,,,,,
ANAND NAGAR,Vaibhav Palace,Res.,48,28,Others,yes,9,,2,,,,,31/10/2021,,,,,,,
MEGA MALL,Assistant Commissioner Police Oshiwara Division Mumbai,Com,,,,,0,0,0,,,,,31/10/2021,,,,,,,
MEGA MALL,Jay Ambe,Res.,100,,BWG,yes,0,,0,,,28/09/2021,"Amar Pal
9920612050",31/10/2021,,,,,,,
MEGA MALL,Mahataranga,Res.,52,4,Others,yes,0,0,0,,,,,31/10/2021,,,,,,,
MEGA MALL,Swati Apartment,Res.,28,7,Others,yes,10,,-,,,,,31/10/2021,,,,,,,
MEGA MALL,1 BHK,Com,,,Others,yes,0,,0,,-,,,31/10/2021,,,,,,,
MEGA MALL,Meera Tower,Res.,100,28,BWG,,-,-,-,out source,,,"A.K.Singh (Mang)
9930317315",31/10/2021,,,,,,,
GREEN PARK,East side no.28,Res.,32,,MHADA,yes,5,,0,bin comp,24/09/2021,,,31/10/2021,,,,,,,
GREEN PARK,Samruddhi no.29,Res.,32,,MHADA,yes,28,,0,bin comp,06.10.2021,,,31/10/2021,,,,,,,
GREEN PARK,Anand vihar,Res.,42,,MHADA,yes,37,,0,bin comp,24/09/2021,,,31/10/2021,,,,,,,
GREEN PARK,Oshiwara Basera,Res.,28,,MHADA,yes,4,,10,bin comp,,,,31/10/2021,,,,,,,
GREEN PARK,Park paradise,Res.,44,12,MHADA,yes,9,,8,bin comp,25/09/2021,,,31/10/2021,,,,,,,
GREEN PARK,The park (Lotus),Res.,42,,MHADA,,-,,-,-,-,,,31/10/2021,,,,,,,
TARAPORE,K.L Walawalkar MCGM garden,Grdn,,,Others,,-,,-,,,,,31/10/2021,,,,,,,
TARAPORE,Atlantis,Res.,22,,Others,yes,0,,2,,,,,31/10/2021,,,,,,,
TARAPORE,Deep apartment & Tower,Res.,100,,BWG,yes,0,,0,,,28/09/2021,Zuber Menon,31/10/2021,,,,,,,
TARAPORE,Harjanhans,Res.,,,Others,,0,,0,,,,,31/10/2021,,,,,,,
TARAPORE,Kohinoor I,Res.,,,Others,yes,-,-,-,,,,,31/10/2021,,,,,,,
TARAPORE,Kohinoor II,Res.,,,Others,yes,-,-,-,,,,,31/10/2021,,,,,,,
TARAPORE,Shantivan Mhada (7 bldg),Res.,7x28,,MHADA,yes,118,,0,,25/09/2021,,,31/10/2021,,,,,,,
TARAPORE,BMC Garden II,Grdn,,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
TARAPORE,Rims International School ,Scl,,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
TARAPORE,Samartha deep,Res.,160,,BWG,,-,,-,Out Source,-,-,-,31/10/2021,,,,,,,
TARAPORE,Samartha ashish,Res.,74,,Others,yes,0,,0,,,,,31/10/2021,,,,,,,
TARAPORE,Aakash,Res.,28,,MHADA,yes,26,,0,bin comp,26/09/2021,,,31/10/2021,,,,,,,
TARAPORE,Eden garden no.22,Res.,32,,MHADA,yes,-,-,-,bin comp,18/09/2021,,,31/10/2021,,,,,,,
TARAPORE,Samartha Aangan,Res.,330,,After 2007 (BWG),yes,36,,25,,,,,31/10/2021,,,,,,,
TARAPORE,Gulmohar,Res.,32,,MHADA,yes,29,,,,,,,31/10/2021,,,,,,,
TARAPORE,Mayfair no.20,Res.,32,6,MHADA,yes,36,,,bin comp,18/09/2021,,,31/10/2021,,,,,,,
TARAPORE,Indra darshan l,Res.,264,,BWG,,-,,-,Out source,-,,-,31/10/2021,,,,,,,
TARAPORE,Indra darshan ll,Res.,330,,BWG,,-,,-,Out source,-,-,-,31/10/2021,,,,,,,
TARAPORE,"Tarapore garden no. 1,2,3",Res.,294,,BWG,yes,0,,0,OWC,,18/09/2021,"Sanjeev Sharma
9920304152",31/10/2021,,,,,,,
TARAPORE,Tarapore tower,Res.,269,,BWG,,-,,-,Out source,-,18/09/2021,"Arun poddar
9920720066",31/10/2021,,,,,,,
